YDR300C,cytoplasm
YDR301W,nucleus
YDR302W,ER
YDR303C,nucleus
YDR304C,vacuole
YDR305C,cytoplasm,mitochondrion,nucleus
YDR307W,ER
YDR308C,nucleus
YDR309C,cytoplasm,bud
YDR310C,nucleus
YDR311W,nucleus
YDR312W,nucleolus,nucleus
YDR313C,endosome
YDR314C,nucleus
YDR316W,mitochondrion
YDR318W,nucleus,spindle pole
YDR320C-A,spindle pole
YDR322C-A,mitochondrion
YDR322W,mitochondrion
YDR323C,endosome
YDR324C,nucleolus
YDR325W,nucleolus,nucleus
YDR328C,cytoplasm,nucleus
YDR329C,peroxisome
YDR330W,cytoplasm,nucleus
YDR331W,ER
YDR332W,mitochondrion
YDR333C,cytoplasm
YDR334W,nucleus
YDR335W,cytoplasm,nuclear periphery,nucleus
YDR337W,mitochondrion
YDR343C,cell periphery
YDR344C,punctate composite
YDR345C,cell periphery,vacuole
YDR346C,cytoplasm,nucleus
YDR347W,mitochondrion
YDR348C,bud neck,cell periphery
YDR349C,ER,cytoplasm
YDR352W,vacuolar membrane
YDR353W,cytoplasm,nucleus
YDR354W,cytoplasm,nucleus
YDR356W,spindle pole
YDR357C,punctate composite
YDR358W,cytoplasm,late Golgi
YDR361C,cytoplasm,nucleus
YDR362C,nucleus
YDR363W,cytoplasm,nucleus
YDR363W-A,nucleus
YDR364C,cytoplasm,nucleus
YDR365C,nucleolus,nucleus
YDR367W,punctate composite,Golgi,early Golgi
YDR368W,cytoplasm,nucleus
YDR369C,cytoplasm,nucleus
YDR370C,cytoplasm
YDR371W,cytoplasm
YDR372C,cytoplasm,nucleus
YDR373W,punctate composite
YDR375C,mitochondrion
YDR376W,mitochondrion
YDR377W,mitochondrion
YDR379C-A,mitochondrion
YDR379W,cytoplasm
YDR380W,cytoplasm
YDR381W,nucleus
YDR382W,cytoplasm
YDR384C,cell periphery,vacuole
YDR385W,cytoplasm
YDR388W,actin
YDR389W,cytoplasm
YDR390C,nucleus
YDR391C,cytoplasm,nucleus
YDR392W,nucleus
YDR395W,cytoplasm,nucleus
YDR397C,nucleus
YDR398W,nucleolus
YDR399W,cytoplasm,nucleus
YDR400W,cytoplasm,nucleus
YDR404C,nucleus
YDR405W,mitochondrion
YDR407C,late Golgi
YDR408C,cytoplasm,nucleus
YDR409W,cytoplasm,nucleus
YDR410C,ER
YDR411C,ER
YDR412W,nucleolus,nucleus
YDR416W,nucleus
YDR418W,cytoplasm
YDR419W,cytoplasm,nucleus
YDR421W,nucleus
YDR422C,cytoplasm
YDR423C,cytoplasm,nucleus
YDR424C,ER
YDR425W,cytoplasm,endosome,lipid particle
YDR427W,nucleus
YDR429C,cytoplasm
YDR430C,mitochondrion
YDR432W,nucleus
YDR434W,ER
YDR437W,ER
YDR439W,nucleolus
YDR440W,cytoplasm,nucleus
YDR441C,cytoplasm
YDR443C,cytoplasm,nucleus
YDR444W,cytoplasm
YDR447C,cytoplasm
YDR448W,nucleus
YDR449C,nucleolus
YDR450W,cytoplasm
YDR451C,nucleus
YDR452W,vacuole
YDR453C,cytoplasm
YDR454C,cytoplasm,nucleus
YDR456W,endosome
YDR457W,nucleolus,nucleus
YDR458C,nuclear periphery
YDR460W,nucleus
YDR461W,cytoplasm,nucleus
YDR462W,mitochondrion
YDR463W,nucleus
YDR464W,nucleus
YDR465C,cytoplasm,nucleus
YDR469W,nucleus
YDR471W,cytoplasm
YDR472W,late Golgi
YDR473C,nucleus
YDR474C,mitochondrion
YDR476C,ER
YDR477W,cytoplasm
YDR478W,nucleus
YDR479C,cytoplasm,punctate composite
YDR480W,cytoplasm,nucleus
YDR481C,vacuole
YDR482C,cytoplasm,nucleus
YDR483W,vacuole
YDR484W,punctate composite
YDR485C,nucleus
YDR486C,vacuolar membrane
YDR487C,cytoplasm,nucleus
YDR492W,ER
YDR493W,mitochondrion
YDR495C,punctate composite
YDR496C,nucleolus,nucleus
YDR497C,cell periphery,vacuole
YDR498C,ER
YDR499W,cytoplasm,nucleus
YDR500C,cytoplasm
YDR503C,Golgi
YDR505C,cytoplasm
YDR507C,bud neck,cytoplasm,bud
YDR508C,ER,cell periphery
YDR510W,cytoplasm,nucleus
YDR511W,mitochondrion
YDR513W,nucleus
YDR514C,mitochondrion,nucleus
YDR515W,cytoplasm
YDR516C,cytoplasm
YDR517W,punctate composite
YDR519W,ER
YDR520C,cytoplasm,nucleus
YDR523C,cytoplasm,nucleus
YDR524C,cytoplasm
YDR525W-A,punctate composite,vacuolar membrane,lipid particle
YDR527W,cytoplasm
YDR528W,cytoplasm
YDR529C,mitochondrion
YDR530C,cytoplasm,nucleus
YDR531W,cytoplasm,nucleus
YDR532C,spindle pole
YDR533C,cytoplasm,nucleus
YDR538W,mitochondrion
YDR539W,cytoplasm
YDR540C,cytoplasm,nucleus
YEL001C,ER
YEL002C,ER
YEL003W,cytoplasm
YEL005C,punctate composite
YEL006W,mitochondrion
YEL007W,cytoplasm,nucleus
YEL008W,cytoplasm,nucleus
YEL009C,cytoplasm,nucleus
YEL011W,cytoplasm,nucleus,punctate composite
YEL012W,cytoplasm,nucleus
YEL013W,vacuolar membrane
YEL014C,cytoplasm
YEL015W,punctate composite
YEL017C-A,cell periphery,vacuole
