YIL157C,mitochondrion,
YIL121W,cell periphery,
YIL117C,vacuole,
YIL114C,mitochondrion,outer
YIL109C,ER to Golgi,
YIL105C,punctate composite,
YIL092W,cytoplasm,
YIL092W,nucleus,
YIL090W,ER,
YIL088C,ER,
YIL076W,early Golgi,
YIL076W,Golgi,
YIL067C,vacuole,
YIL048W,early Golgi,
YIL047C,vacuolar membrane,
YIL041W,cytoplasm,
YIL040W,ER,
YIL039W,ER,
YIL037C,vacuole,
YIL027C,ER,
YIL016W,ER,
YIL005W,vacuole,
YIR014W,vacuole,
YJL097W,ER,
YJL097W,vacuole,
YJL212C,ER,
YJL099W,late Golgi,
YGR132C,mitochondrion,inner
YDR062W,ER,
YEL017C-A,cell periphery,
YEL017C-A,vacuole,
YMR319C,cell periphery,
YMR319C,vacuole,
YDL107W,mitochondrion,inner
YNL006W,punctate composite,
YJL002C,ER,
YJL004C,early Golgi,
YLR353W,bud,
YLR353W,bud neck,
YLR353W,cell periphery,
YLL006W,mitochondrion,outer
YLL006W,punctate composite,
YGR105W,vacuole,
YPR036W,vacuolar membrane,
YDR238C,early Golgi,
YDR238C,Golgi,
YGL137W,early Golgi,
YGL137W,Golgi,
YDR046C,vacuole,
YNL142W,cell periphery,
YNL328C,mitochondrion,inner
YNL326C,vacuole,
YNL323W,ER,
YLR139C,mitochondrion,inner
YJL104W,mitochondrion,inner
YKL096W-A,ER,
YFL062W,vacuole,
YFL048C,vacuolar membrane,
YFL046W,mitochondrion,
YFL041W,vacuolar membrane,
YFL025C,ER,
YFL010C,cytoplasm,
YFL010C,nucleus,
YFL004W,ER,
YFR006W,cytoplasm,
YFR041C,ER,
YFR051C,early Golgi,
YFR051C,Golgi,
YGL065C,ER,
YKL006C-A,cytoplasm,
YKL006C-A,nucleus,
YGR261C,early Golgi,
YGR261C,Golgi,
YGR261C,punctate composite,
YJL117W,ER,
YPL076W,ER,
YJR010C-A,ER,
YJR143C,ER,
YJL183W,Golgi,
YJL178C,punctate composite,
YJL171C,ER,
YJL161W,mitochondrion,
YJL112W,mitochondrion,outer
YJL091C,ER,
YJL082W,cytoplasm,
YJL082W,nucleus,
YJL058C,cytoplasm,
YJL054W,mitochondrion,inner
YJL039C,nuclear periphery,
YJL036W,endosome,
YJL029C,early Golgi,
YJL029C,punctate composite,
YJL024C,early Golgi,
YJL024C,punctate composite,
YJL018W,spindle pole,
YJR013W,ER,
YJR015W,cytoplasm,
YJR015W,ER,
YJR031C,Golgi,
YJR044C,endosome,
YJR054W,vacuole,
YJR075W,Golgi,
YJR117W,ER,
YJR118C,ER,
YJR161C,vacuole,
YOR321W,ER,
YLR220W,vacuole,
YNL087W,cell periphery,
YNL083W,mitochondrion,inner
YPL085W,ER to Golgi,
YNL305C,vacuole,
YNL304W,cytoplasm,
YDR508C,cell periphery,
YDR508C,ER,
YDR331W,ER,
YPR124W,bud,
YPR124W,cell periphery,
YGR217W,cytoplasm,
YGR231C,mitochondrion,inner
YDR245W,Golgi,
YMR060C,mitochondrion,outer
YGR055W,vacuole,
YNL100W,mitochondrion,
YGL210W,cytoplasm,
YGL210W,nucleus,
YER019C-A,ER,
YPR173C,endosome,
YNR075W,ER,
YGL126W,ER,
YGR060W,ER,
YGR060W,vacuole,
YGR281W,cell periphery,
YGL247W,nuclear periphery,
YGL231C,ER,
YGL223C,early Golgi,
YGL219C,mitochondrion,outer
YGL219C,punctate composite,
YGL186C,ER,
YGL180W,punctate composite,
YGL161C,cytoplasm,
YGL153W,peroxisome,
YGL139W,cell periphery,
YGL124C,late Golgi,
YGL098W,lipid particle,
YGL085W,mitochondrion,
YGL084C,ER,
YGL075C,spindle pole,
YGL054C,ER,
YGL054C,vacuole,
YGL036W,cytoplasm,
YGL023C,vacuolar membrane,
YGL020C,ER,
YGL005C,Golgi,
YGL001C,ER,
YGR026W,cell periphery,
YGR033C,mitochondrion,inner
YGR036C,ER,
YGR038W,ER,
YGR041W,bud,
YGR041W,bud neck,
YGR046W,mitochondrion,inner
YGR062C,mitochondrion,inner
YGR065C,bud,
YGR065C,cell periphery,
YGR089W,ER,
YGR096W,mitochondrion,inner
YGR101W,mitochondrion,inner
YGR106C,vacuolar membrane,
YGR112W,mitochondrion,inner
YGR120C,early Golgi,
YGR120C,Golgi,
YGR125W,vacuole,
YGR138C,cell periphery,
YGR177C,ER,
YGR189C,cytoplasm,
YGR255C,mitochondrion,inner
YGR255C,punctate composite,
YGR257C,mitochondrion,inner
YGR260W,ER,
YGR263C,ER,
YGR284C,ER,
YGR295C,vacuole,
YDR144C,vacuole,
YPL265W,cell periphery,
YPL265W,vacuole,
YNR055C,cell periphery,
YPR138C,cell periphery,
YPR003C,ER,
YNL070W,mitochondrion,outer
YPL010W,punctate composite,
YDL145C,early Golgi,
YDL145C,Golgi,
YNR019W,ER,
YNL044W,early Golgi,
YNL044W,Golgi,
YNR018W,mitochondrion,
YNR030W,ER,
YNR039C,ER,
YNR056C,cell periphery,
YNR061C,vacuole,
YNL336W,vacuole,
YNL283C,cell periphery,
YNL279W,vacuole,
YNL258C,ER,
YNL256W,cytoplasm,
YNL256W,mitochondrion,
YNL231C,lipid particle,
YNL219C,ER,
YNL181W,ER,
YNL180C,cytoplasm,
YNL180C,nucleus,
YNL176C,vacuole,
YNL173C,punctate composite,
YNL158W,nuclear periphery,
YNL156C,ER,
YNL149C,ER,
YNL146W,ER,
YNL143C,cytoplasm,
YNL143C,nucleus,
YNL125C,ER,
YNL115C,vacuole,
YNL095C,ER,
YNL065W,cell periphery,
YNL065W,vacuole,
YNL058C,vacuole,
YNL051W,early Golgi,
YNL051W,Golgi,
YNL048W,ER,
YNL046W,ER,
YNL041C,Golgi,
YNL008C,nuclear periphery,
YML052W,punctate composite,
YPL053C,vacuole,
YMR119W,nuclear periphery,
YML086C,mitochondrion,outer
YML012W,ER,
YLL001W,mitochondrion,outer
YLL001W,punctate composite,
YOR008C,bud,
YOR008C,bud neck,
YOR008C,cytoplasm,
YOR008C,vacuole,
YDR525W-A,lipid particle,
YDR525W-A,punctate composite,
YDR525W-A,vacuolar membrane,
YKR035W-A,endosome,
YLR191W,peroxisome,
YML081C-A,mitochondrion,
YKR055W,cytoplasm,
YKR055W,nucleus,
YJR058C,bud neck,
YJR058C,cell periphery,
YPL259C,late Golgi,
YDR077W,ER,
YIL022W,mitochondrion,inner
YDR039C,cell periphery,
YOR334W,mitochondrion,inner
YPL019C,vacuole,
YDL212W,ER,
YPL063W,mitochondrion,inner
YPL060W,mitochondrion,inner
YPL058C,cell periphery,
YMR149W,ER,
