hart et al 15.cytoplasm,hart et al 15.nucleus
hart et al 15.nucleus,hart et al 15.cell periphery
hart et al 15.cell periphery,hart et al 15.nucleolus
hart et al 150.cytoplasm,hart et al 150.nucleus
hart et al 152.cytoplasm,hart et al 152.nucleus
hart et al 153.cytoplasm,hart et al 153.nucleus
hart et al 153.nucleus,hart et al 153.endosome
hart et al 153.endosome,hart et al 153.spindle pole
hart et al 154.cytoplasm,hart et al 154.nucleus
hart et al 155.cytoplasm,hart et al 155.unknown
hart et al 156.cytoplasm,hart et al 156.nucleus
hart et al 156.nucleus,hart et al 156.nucleolus
hart et al 157.cytoplasm,hart et al 157.nucleus
hart et al 157.nucleus,hart et al 157.unknown
hart et al 159.cytoplasm,hart et al 159.nucleus
hart et al 16.cytoplasm,hart et al 16.nucleus
hart et al 160.cytoplasm,hart et al 160.nucleus
hart et al 161.cytoplasm,hart et al 161.mitochondrion
hart et al 161.mitochondrion,hart et al 161.punctate composite
hart et al 162.cytoplasm,hart et al 162.nuclear periphery
hart et al 162.nuclear periphery,hart et al 162.ER to Golgi
hart et al 163.cytoplasm,hart et al 163.nucleus
hart et al 164.cytoplasm,hart et al 164.nucleus
hart et al 164.nucleus,hart et al 164.mitochondrion
hart et al 165.cell periphery,hart et al 165.unknown
hart et al 166.cytoplasm,hart et al 166.unknown
hart et al 167.cytoplasm,hart et al 167.nucleus
hart et al 167.nucleus,hart et al 167.vacuole
hart et al 168.cytoplasm,hart et al 168.nucleus
hart et al 169.cytoplasm,hart et al 169.nucleus
hart et al 17.cytoplasm,hart et al 17.nucleus
hart et al 17.nucleus,hart et al 17.unknown
hart et al 170.cytoplasm,hart et al 170.bud neck
hart et al 170.bud neck,hart et al 170.cell periphery
hart et al 170.cell periphery,hart et al 170.bud
hart et al 171.bud neck,hart et al 171.cell periphery
hart et al 171.cell periphery,hart et al 171.punctate composite
hart et al 171.punctate composite,hart et al 171.vacuole
hart et al 172.cytoplasm,hart et al 172.nucleus
hart et al 174.early Golgi,hart et al 174.punctate composite
hart et al 175.cytoplasm,hart et al 175.nucleus
hart et al 176.cytoplasm,hart et al 176.vacuolar membrane
hart et al 176.vacuolar membrane,hart et al 176.unknown
hart et al 177.cytoplasm,hart et al 177.nucleus
hart et al 178.cytoplasm,hart et al 178.unknown
hart et al 18.cytoplasm,hart et al 18.nucleus
hart et al 18.nucleus,hart et al 18.early Golgi
hart et al 18.early Golgi,hart et al 18.punctate composite
hart et al 18.punctate composite,hart et al 18.nucleolus
hart et al 18.nucleolus,hart et al 18.Golgi
hart et al 18.Golgi,hart et al 18.unknown
hart et al 181.cytoplasm,hart et al 181.punctate composite
hart et al 182.cytoplasm,hart et al 182.nucleus
hart et al 183.cytoplasm,hart et al 183.nucleus
hart et al 184.cytoplasm,hart et al 184.nucleus
hart et al 184.nucleus,hart et al 184.nucleolus
hart et al 186.cytoplasm,hart et al 186.bud neck
hart et al 186.bud neck,hart et al 186.spindle pole
hart et al 188.cytoplasm,hart et al 188.unknown
hart et al 189.ER,hart et al 189.mitochondrion
hart et al 189.mitochondrion,hart et al 189.unknown
hart et al 19.cytoplasm,hart et al 19.unknown
hart et al 190.cytoplasm,hart et al 190.nucleus
hart et al 191.cytoplasm,hart et al 191.nucleus
hart et al 191.nucleus,hart et al 191.mitochondrion
hart et al 191.mitochondrion,hart et al 191.unknown
hart et al 192.cytoplasm,hart et al 192.early Golgi
hart et al 192.early Golgi,hart et al 192.cell periphery
hart et al 192.cell periphery,hart et al 192.Golgi
hart et al 193.cytoplasm,hart et al 193.unknown
hart et al 194.cytoplasm,hart et al 194.actin
hart et al 195.cytoplasm,hart et al 195.unknown
hart et al 196.cytoplasm,hart et al 196.nucleus
hart et al 197.cytoplasm,hart et al 197.nucleus
hart et al 198.endosome,hart et al 198.punctate composite
hart et al 2.cytoplasm,hart et al 2.nucleus
hart et al 2.nucleus,hart et al 2.mitochondrion
hart et al 2.mitochondrion,hart et al 2.vacuole
hart et al 2.vacuole,hart et al 2.unknown
hart et al 20.cytoplasm,hart et al 20.nucleus
