YDR533C.cytoplasm,YDR533C.nucleus
YEL009C.cytoplasm,YEL009C.nucleus
YEL012W.cytoplasm,YEL012W.nucleus
YEL019C.cytoplasm,YEL019C.nucleus
YEL022W.cytoplasm,YEL022W.early Golgi
YEL037C.cytoplasm,YEL037C.nucleus
YEL055C.nucleus,YEL055C.nucleolus
YEL058W.cytoplasm,YEL058W.nucleus
YEL060C.cytoplasm,YEL060C.punctate composite
YER002W.nucleus,YER002W.nucleolus
YER005W.early Golgi,YER005W.Golgi
YER006W.nucleus,YER006W.nucleolus
YER008C.bud neck,YER008C.cell periphery
YER008C.bud neck,YER008C.bud
YER008C.cell periphery,YER008C.bud
YER013W.cytoplasm,YER013W.nucleus
YER021W.cytoplasm,YER021W.nucleus
YER031C.cytoplasm,YER031C.nucleus
YER038C.cytoplasm,YER038C.nucleus
YER040W.cytoplasm,YER040W.nucleus
YER054C.cytoplasm,YER054C.punctate composite
YER059W.cytoplasm,YER059W.nucleus
YER089C.cytoplasm,YER089C.nucleus
YER095W.cytoplasm,YER095W.nucleus
YER104W.cytoplasm,YER104W.nucleus
YER107C.cytoplasm,YER107C.nuclear periphery
YER110C.cytoplasm,YER110C.nucleus
YER111C.cytoplasm,YER111C.nucleus
YER112W.cytoplasm,YER112W.nucleus
YER114C.cytoplasm,YER114C.bud neck
YER114C.cytoplasm,YER114C.cell periphery
YER114C.bud neck,YER114C.cell periphery
YER114C.cytoplasm,YER114C.bud
YER114C.bud neck,YER114C.bud
YER114C.cell periphery,YER114C.bud
YER114C.cytoplasm,YER114C.punctate composite
YER114C.bud neck,YER114C.punctate composite
YER114C.cell periphery,YER114C.punctate composite
YER114C.bud,YER114C.punctate composite
YER116C.cytoplasm,YER116C.nucleus
YER118C.cytoplasm,YER118C.bud neck
YER118C.cytoplasm,YER118C.cell periphery
YER118C.bud neck,YER118C.cell periphery
YER122C.early Golgi,YER122C.Golgi
YER133W.cytoplasm,YER133W.nucleus
YER133W.cytoplasm,YER133W.punctate composite
YER133W.nucleus,YER133W.punctate composite
YER147C.cytoplasm,YER147C.nucleus
YER149C.cell periphery,YER149C.bud
YER155C.cytoplasm,YER155C.bud neck
YER157W.early Golgi,YER157W.Golgi
YER162C.cytoplasm,YER162C.nucleus
